Date,kalman_smoothed_prices
1962-01-02,0.0
1962-01-03,1.4606966011400218
1962-01-04,3.3292628979028502
1962-01-05,4.844573833366208
1962-01-08,5.815468274642789
1962-01-09,6.431651712084988
1962-01-10,6.772801830676026
1962-01-11,6.986739108582485
1962-01-12,7.097245675575469
1962-01-15,7.166432209996166
1962-01-16,7.154040185091425
1962-01-17,7.08209520824913
1962-01-18,7.062667415172368
1962-01-19,7.05836688602505
1962-01-22,7.048932276391562
1962-01-23,7.002500770862985
1962-01-24,7.007612979154784
1962-01-25,6.962326150815921
1962-01-26,6.923092394846818
1962-01-29,6.8343196957082
1962-01-30,6.746764917883534
1962-01-31,6.849381705274743
1962-02-01,6.988442935958078
1962-02-02,7.067749757107108
1962-02-05,7.0394850722858635
1962-02-06,7.033366378877291
1962-02-07,7.035274120756094
1962-02-08,7.040071154272774
1962-02-09,7.074783432355752
1962-02-12,7.09118752741154
1962-02-13,7.022331759236519
1962-02-14,6.989898448883245
1962-02-15,6.96192640266625
1962-02-16,6.948041096786857
1962-02-19,6.897223370834875
1962-02-20,6.881822310083176
1962-02-21,6.8429458694925485
1962-02-23,6.844383291558855
1962-02-26,6.8280195272056465
1962-02-27,6.830904554310797
1962-02-28,6.840332678888181
1962-03-01,6.898525079144936
1962-03-02,6.95623409792581
1962-03-05,6.958638516167863
1962-03-06,6.963690339211715
1962-03-07,6.980255844710297
1962-03-08,6.996415281959136
1962-03-09,7.031601809020993
1962-03-12,7.039024994889106
1962-03-13,7.037220468066335
1962-03-14,7.028084879100105
1962-03-15,7.016520803836778
1962-03-16,7.034085585180426
1962-03-19,7.052706794946748
1962-03-20,7.028857172592234
1962-03-21,7.025310521089614
1962-03-22,6.972685998465729
1962-03-23,6.972623905354503
1962-03-26,6.970456268587423
1962-03-27,6.881643860451036
1962-03-28,6.878504930209773
1962-03-29,6.864571789051928
1962-03-30,6.814828860918939
1962-04-02,6.736223281113223
1962-04-03,6.598771469640265
1962-04-04,6.534847403556152
1962-04-05,6.606685995309278
1962-04-06,6.625683208773084
1962-04-09,6.636151835014569
1962-04-10,6.656779613349376
1962-04-11,6.603150284741444
1962-04-12,6.53840691463948
1962-04-13,6.582004509941748
1962-04-16,6.5918375670412654
1962-04-17,6.616559749549972
1962-04-18,6.615964493392254
1962-04-19,6.615771444249939
1962-04-23,6.6114021494961825
1962-04-24,6.6056792973675655
1962-04-25,6.556468231881704
1962-04-26,6.428706120800195
1962-04-27,6.267110525431411
1962-04-30,5.9460738917743985
1962-05-01,5.9081589946285415
1962-05-02,5.98428048307679
1962-05-03,6.092087485907567
1962-05-04,6.1600623593937565
1962-05-07,6.092868357251017
1962-05-08,5.938496522326122
1962-05-09,5.815024335260049
1962-05-10,5.788703904199769
1962-05-11,5.722082446231877
1962-05-14,5.767795746246983
1962-05-15,5.763871229570909
1962-05-16,5.8028498968469835
1962-05-17,5.752760393689245
1962-05-18,5.754327037509518
1962-05-21,5.7429760435146315
1962-05-22,5.620278115331327
1962-05-23,5.419764470700843
1962-05-24,5.210315323900653
1962-05-25,5.132385705365684
1962-05-28,4.822767231286663
1962-05-29,4.856834000667417
1962-05-31,4.939779544677383
1962-06-01,4.921792671855504
1962-06-04,4.739456803419728
1962-06-05,4.686753754731295
1962-06-06,4.672084731926641
1962-06-07,4.6951531867202645
1962-06-08,4.7142247554627525
1962-06-11,4.644551690819613
1962-06-12,4.460538267141121
1962-06-13,4.292829211355491
1962-06-14,4.10898645587231
1962-06-15,4.174310315446311
1962-06-18,4.187381165269734
1962-06-19,4.2297172359274535
1962-06-20,4.2085442676854345
1962-06-21,4.130333230359459
1962-06-22,4.1088983094583895
1962-06-25,4.16215670721563
1962-06-26,4.128556904645637
1962-06-27,4.17485141116487
1962-06-28,4.2575828917210075
1962-06-29,4.283575568627798
1962-07-02,4.352062271076907
1962-07-03,4.401071503205408
1962-07-05,4.423879672371727
1962-07-06,4.41408821366516
1962-07-09,4.432829261135447
1962-07-10,4.484421161477559
1962-07-11,4.589799405190903
1962-07-12,4.6777830342121565
1962-07-13,4.720706583642945
1962-07-16,4.776753659545991
1962-07-17,4.755606443556903
1962-07-18,4.719904113245896
1962-07-19,4.707302491479391
1962-07-20,4.719559200153192
1962-07-23,4.731939381524861
1962-07-24,4.696242522645027
1962-07-25,4.692138993235711
1962-07-26,4.698364468718643
1962-07-27,4.7306309955725885
1962-07-30,4.802455487283629
1962-07-31,4.847637640408822
1962-08-01,4.829844150561444
1962-08-02,4.859896211210789
1962-08-03,4.876280605347065
1962-08-06,4.865163521681698
1962-08-07,4.828464451851415
1962-08-08,4.841324648558251
1962-08-09,4.82699716337863
1962-08-10,4.81432151807253
1962-08-13,4.818929756583568
1962-08-14,4.85325827879235
1962-08-15,4.878093675032749
1962-08-16,4.89343614471845
1962-08-17,4.917568601682631
1962-08-20,4.951821831316575
1962-08-21,4.970212025999317
1962-08-22,5.052268778284578
1962-08-23,5.113131239599527
1962-08-24,5.147020000487194
1962-08-27,5.165172442756053
1962-08-28,5.114784683352224
1962-08-29,5.070670502831704
1962-08-30,5.027490782648773
1962-08-31,5.035414935391882
1962-09-04,5.003071611858632
1962-09-05,4.962330396293069
1962-09-06,4.95677463651769
1962-09-07,4.9284400754961
1962-09-10,4.918216346276303
1962-09-11,4.901800799584529
1962-09-12,4.89785846585378
1962-09-13,4.894706439933891
1962-09-14,4.912923340011515
1962-09-17,4.953901573169363
1962-09-18,4.968300617892317
1962-09-19,4.953277113327723
1962-09-20,4.9283367979812684
1962-09-21,4.88614486718344
