Date,IBM
1962-01-02,7.2912678718566895
1962-01-03,7.3550028800964355
1962-01-04,7.281707763671875
1962-01-05,7.138305187225342
1962-01-08,7.00446081161499
1962-01-09,7.087316989898682
1962-01-10,7.100063800811768
1962-01-11,7.176546096801758
1962-01-12,7.189292907714844
1962-01-15,7.221159934997559
1962-01-16,7.144678115844727
1962-01-17,7.02995491027832
1962-01-18,7.049076080322266
1962-01-19,7.05544900894165
1962-01-22,7.0427021980285645
1962-01-23,6.972593784332275
1962-01-24,7.01083517074585
1962-01-25,6.934352874755859
1962-01-26,6.899299144744873
1962-01-29,6.781389236450195
1962-01-30,6.695346832275391
1962-01-31,6.908858776092529
1962-02-01,7.068195819854736
1962-02-02,7.112811088562012
1962-02-05,7.0235819816589355
1962-02-06,7.02995491027832
1962-02-07,7.0363287925720215
1962-02-08,7.0427021980285645
1962-02-09,7.093689918518066
1962-02-12,7.100063800811768
1962-02-13,6.9853410720825195
1962-02-14,6.972593784332275
1962-02-15,6.9471001625061035
1962-02-16,6.940727233886719
1962-02-19,6.870617866516113
1962-02-20,6.873805046081543
1962-02-21,6.822816848754883
1962-02-23,6.845123767852783
1962-02-26,6.819630146026611
1962-02-27,6.832376956939697
1962-02-28,6.845123767852783
1962-03-01,6.927979946136475
1962-03-02,6.9853410720825195
1962-03-05,6.9598469734191895
1962-03-06,6.966220855712891
1962-03-07,6.988527774810791
1962-03-08,7.00446081161499
1962-03-09,7.049076080322266
1962-03-12,7.0427021980285645
1962-03-13,7.0363287925720215
1962-03-14,7.0235819816589355
1962-03-15,7.01083517074585
1962-03-16,7.0427021980285645
1962-03-19,7.061822891235352
1962-03-20,7.017208099365234
1962-03-21,7.0235819816589355
1962-03-22,6.9471001625061035
1962-03-23,6.972593784332275
1962-03-26,6.969407081604004
1962-03-27,6.838750839233398
1962-03-28,6.876992225646973
1962-03-29,6.857871055603027
1962-03-30,6.790949821472168
1962-04-02,6.69853401184082
1962-04-03,6.532823085784912
1962-04-04,6.504143238067627
1962-04-05,6.641172885894775
1962-04-06,6.634799003601074
1962-04-09,6.641172885894775
1962-04-10,6.6666669845581055
1962-04-11,6.577437877655029
1962-04-12,6.507329940795898
1962-04-13,6.602931976318359
1962-04-16,6.596558094024658
1962-04-17,6.6284260749816895
1962-04-18,6.615678787231445
1962-04-19,6.615678787231445
1962-04-23,6.609304904937744
1962-04-24,6.602931976318359
1962-04-25,6.532823085784912
1962-04-26,6.36711311340332
1962-04-27,6.188654899597168
1962-04-30,5.787126064300537
1962-05-01,5.889101028442383
1962-05-02,6.022944927215576
1962-05-03,6.147227764129639
1962-05-04,6.195028781890869
1962-05-07,6.057999134063721
1962-05-08,5.857234001159668
1962-05-09,5.748885154724121
1962-05-10,5.774378776550293
1962-05-11,5.685150146484375
1962-05-14,5.793498992919922
1962-05-15,5.761631965637207
1962-05-16,5.825366020202637
1962-05-17,5.723391056060791
1962-05-18,5.755258083343506
1962-05-21,5.736137866973877
1962-05-22,5.544932842254639
1962-05-23,5.293179988861084
1962-05-24,5.0732951164245605
1962-05-25,5.079668998718262
1962-05-28,4.601656913757324
1962-05-29,4.882091045379639
1962-05-31,5.00318717956543
1962-06-01,4.907584190368652
1962-06-04,4.588910102844238
1962-06-05,4.641490936279297
1962-06-06,4.659018039703369
1962-06-07,4.7163801193237305
1962-06-08,4.732314109802246
1962-06-11,4.576162815093994
1962-06-12,4.271829128265381
1962-06-13,4.112492084503174
1962-06-14,3.900573968887329
1962-06-15,4.251114845275879
1962-06-18,4.203313827514648
1962-06-19,4.28298282623291
1962-06-20,4.181006908416748
1962-06-21,4.024857044219971
1962-06-22,4.079030990600586
1962-06-25,4.238368034362793
1962-06-26,4.079030990600586
1962-06-27,4.244741916656494
1962-06-28,4.3849592208862305
1962-06-29,4.3244099617004395
1962-07-02,4.461440086364746
1962-07-03,4.480560779571533
1962-07-05,4.461440086364746
1962-07-06,4.397706031799316
1962-07-09,4.464626789093018
1962-07-10,4.572976112365723
1962-07-11,4.772148132324219
1962-07-12,4.8311028480529785
1962-07-13,4.796048164367676
1962-07-16,4.8757171630859375
1962-07-17,4.717973232269287
1962-07-18,4.655831813812256
1962-07-19,4.684512138366699
1962-07-20,4.7418742179870605
1962-07-23,4.7546210289001465
1962-07-24,4.630338191986084
1962-07-25,4.684512138366699
1962-07-26,4.710006237030029
1962-07-27,4.7912678718566895
1962-07-30,4.937859058380127
1962-07-31,4.933077812194824
1962-08-01,4.796048164367676
1962-08-02,4.917144775390625
1962-08-03,4.907584190368652
1962-08-06,4.843850135803223
1962-08-07,4.757808208465576
1962-08-08,4.866157054901123
1962-08-09,4.799234867095947
1962-08-10,4.789675235748291
1962-08-13,4.827916145324707
1962-08-14,4.920331001281738
1962-08-15,4.9267048835754395
1962-08-16,4.923518180847168
1962-08-17,4.9649457931518555
1962-08-20,5.019120216369629
1962-08-21,5.006372928619385
1962-08-22,5.213511943817139
1962-08-23,5.232632160186768
1962-08-24,5.213511943817139
1962-08-27,5.200765132904053
1962-08-28,5.015933990478516
1962-08-29,4.984066009521484
1962-08-30,4.942638874053955
1962-08-31,5.05098819732666
1962-09-04,4.939452171325684
1962-09-05,4.882091045379639
1962-09-06,4.945825099945068
1962-09-07,4.872529983520508
1962-09-10,4.898024082183838
1962-09-11,4.869344234466553
1962-09-12,4.89005708694458
1962-09-13,4.888463973999023
1962-09-14,4.94901180267334
1962-09-17,5.0350542068481445
1962-09-18,4.99681282043457
1962-09-19,4.923518180847168
1962-09-20,4.878903865814209
1962-09-21,4.802422046661377
